,identifier,Alignment ID,Average Mz,Average Rt(min),duplicate_flag,adduct_flag,isotope_flag,isotope_phr,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SA1,SA2,SA3,SA4,SA5,SB1,SB2,SB3,SB4,SB5
1649,3.35_213.10,3090,213.1025,3.355,,,,,w/o MS2:Harmine; LC-ESI-QTOF; MS2; [M+H]+; CE,[M+H]+,,0.7,False,,213.10223,C13H12N2O,Harmala alkaloids,BXNJHAXVSOCGBA-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C1=CC=NC(C)=C1N2,530,True,True,False,,False,False,,,100.0,,,,,27.36,SB5,213.10245:1346729 214.1058:910887 215.10916:0,,518277.56,951847.94,764695.1,620684.1,949941.1,1106795.2,1191285.8,1407567.8,1108655.9,1346729.0
1650,3.36_283.18,6455,283.1754,3.356,,,,,Unknown,[M+H]+,adduct linked to 7459_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,102.59,SA1,283.17542:6615222 284.17877:397723 285.18213:0,,6615222.0,4746114.5,3604970.0,4201858.0,3953435.8,3876965.0,4189287.5,5026602.5,4287559.5,4702891.0
1651,3.36_381.10,11879,381.1021,3.356,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,61.49,SB5,381.10214:2050047 382.10549:0 383.10885:315827,,1799064.6,1627831.0,1730888.5,1215738.5,1293337.0,1873153.4,1793384.0,1923471.1,1787234.0,2050046.9
1652,3.36_442.22,14930,442.2234,3.357,Match #2228,,,,C26H27N5O2,[M+H]+,adduct linked to 15980_[M+Na]+,0.8,False,3.3,442.22461,,,,,annotated by user-defined text library,True,True,False,,False,False,,,92.4,85.6,,,,43.88,SB5,442.22336:2684845 443.22671:920271 444.23007:0,,2182032.2,2626737.0,2355556.0,2208506.2,1991162.9,2133108.5,2399058.5,2356778.5,2500254.0,2684845.0
1653,3.36_224.13,3559,224.1344,3.357,,,,,Unknown,[M+2H]2+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,2.62,SB3,224.13437:8054543 225.13772:0 226.14108:0,,6034292.0,6170780.5,5829447.0,5135725.5,4823371.5,5208805.0,6143142.5,8054543.0,5650265.5,6482173.0
1654,3.36_328.23,9046,328.2326,3.357,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,490.59,SA1,328.23257:19654212 329.23592:4730775 330.23928:950298,,19654212.0,14012022.0,11991700.0,13745499.0,11687477.0,12455301.0,12017902.0,16321201.0,11650629.0,13092046.0
1655,3.36_300.20,7459,300.2019,3.358,,,,,Unknown,[M+NH4]+,adduct linked to 6455_[M+H]+; similar chromatogram in higher mz_9046,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,401.24,SA1,300.20193:22114548 301.20528:3542892 302.20864:614898,,22114548.0,14732025.0,14637426.0,15819612.0,14648870.0,15269315.0,14003937.0,17640536.0,15130932.0,18017612.0
1656,3.36_241.62,4303,241.6202,3.358,,,,,Unknown,[M+2H]2+,similar chromatogram in higher mz_13202; similar chromatogram in higher mz_25283,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,98.06,SB1,241.62025:2378056 242.6236:0 243.62696:0,,1989785.9,1881378.1,1285516.9,1421394.4,1850297.6,2378056.2,1390550.0,1986902.4,2068660.2,2296900.5
1657,3.36_308.18,7864,308.1765,3.359,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,30.0,SA2,308.17648:1491416 309.17983:0 310.18319:0,,1121241.4,1491416.1,605503.0,829905.56,1036700.44,970159.25,506022.62,897184.75,1098852.9,1283072.2
1658,3.36_147.08,1251,147.0807,3.359,,,,,w/o MS2:Glutamine; LC-ESI-QTOF; MS2; CE,[M+H]+,similar chromatogram in higher mz_11879,1.0,False,,147.07641999999998,C5H10N2O3,Alpha amino acids,ZDXPYRJPNDTMRX-UHFFFAOYNA-N,NC(CCC(O)=N)C(O)=O,530,True,True,False,,False,False,,,91.0,,,,,255.22,SB3,147.08075:33731788 148.0841:4089050 149.08746:0,,31338872.0,32637422.0,28577898.0,28933904.0,27486596.0,27527126.0,30092598.0,33731788.0,28560682.0,31543524.0
1659,3.36_119.09,564,119.0858,3.362,,,Match #039,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,4.62,SB3,119.08578:1480810 120.08913:0 121.09249:83417,,1179262.9,1269700.6,1162206.5,1159868.8,1014309.8,1113019.1,807094.0,1480809.6,962747.56,1070810.8
1660,3.36_116.07,486,116.0708,3.363,,,"Match #039: 3.36_119.09 = [M+H+3] w/ R^2 = 0.000, dRT = 0.001, PHR = 4.649 +/- 2.460",4.649249701954404,w/o MS2:Proline; LC-ESI-QTOF; MS2; CE,[M+H]+,,0.6,False,,116.0706,C5H9NO2,Proline and derivatives,ONIBWKKTOPOVIA-UHFFFAOYNA-N,OC(=O)C1CCCN1,530,True,True,False,,False,False,,,100.0,,,,,5.4,SA1,116.07085:417848 117.0742:0 118.07756:6770137,,417847.5,341830.16,292753.72,103134.09,167980.89,294326.66,315009.66,255947.78,262846.38,368052.75
1661,3.36_120.05,581,120.0479,3.363,,,"Match #042: 3.35_123.06 = [M+H+3] w/ R^2 = 0.043, dRT = 0.013, PHR = 0.013 +/- 0.003",0.0134837891687449,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,6.78,SB1,120.04792:41355116 121.05127:2238425 122.05463:3209896,,39173132.0,39007692.0,37574876.0,38912540.0,39023652.0,41355116.0,35522820.0,37992152.0,32715356.0,34223704.0
1662,3.36_464.19,15980,464.1862,3.364,,,,,Unknown,[M+Na]+,adduct linked to 14930_[M+H]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,168.51,SB4,464.18625:9708265 465.1896:1786085 466.19296:338098,,9236127.0,9174827.0,8811848.0,8668487.0,8659244.0,8573520.0,9269980.0,9333712.0,9708265.0,9041943.0
1663,3.36_485.17,17010,485.1693,3.364,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,19.0,SB4,485.16934:692278 486.17269:0 487.17605:0,,602474.6,604755.8,393370.3,473758.7,520059.5,537416.1,444683.12,626665.56,692278.5,460043.5
1664,3.36_345.15,10003,345.1494,3.364,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,38.23,SA2,345.14941:1486887 346.15276:277247 347.15612:0,,1112097.1,1486887.1,1124214.8,1034511.6,1197311.5,1175132.1,1256009.2,1147887.0,1278765.8,1066640.5
1665,3.36_482.23,16892,482.2346,3.364,,,,,Unknown,[M+NH4]+,adduct linked to 17098_[M+Na]+,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,18.93,SB3,482.23465:629550 483.238:0 484.24136:0,,359321.0,336032.44,120381.09,335761.7,469095.12,479978.94,317074.44,629549.56,531539.44,385946.5
1666,3.37_402.19,12972,402.1932,3.365,Match #1979: Possible duplicate of 3.30_402.19 (0.0%) | Match #1980,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,53.74,SB1,402.19324:5125653 403.19659:994541 404.19995:0,,3943385.8,4094878.0,4588480.0,4368574.5,3831233.5,5125653.0,4519012.0,4690647.5,4755158.5,4536703.5
1667,3.37_182.08,2135,182.0818,3.365,,,,,w/o MS2:Tyrosine; LC-ESI-QTOF; MS2; CE,[M+H]+,adduct linked to 2651_[M+NH4]+,1.0,False,,182.08118,C9H11NO3,Tyrosine and derivatives,OUYCCCASQSFEME-UHFFFAOYNA-N,NC(CC1=CC=C(O)C=C1)C(O)=O,530,True,True,False,,False,False,,,99.8,,,,,32.14,SB3,182.08179:2148390 183.08514:311737 184.0885:0,,1768082.0,1803600.5,1757954.2,1577535.2,1620816.2,1617549.1,1744249.4,2148390.0,1635177.4,1946827.0
1668,3.37_134.10,954,134.0966,3.365,Match #117,Match #005: M-H] -> [M+Cl] (3.38_170.08) w/ R^2 = 0.000,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,35.28,SB2,134.0966:1562339 135.09995:0 136.10331:0,,868597.8,1268315.9,1302605.9,1027111.94,763689.06,1168910.5,1562339.4,1308342.8,1380028.4,1342684.6
1669,3.37_240.08,4231,240.0766,3.366,,,Match #393,,w/o MS2:Clomazone; LC-ESI-ITFT; MS2; CE,[M+H]+,,0.8,False,,240.07858,C12H14ClNO2,Chlorobenzenes,KIEDNEWSYUYDSN-UHFFFAOYSA-N,CC1(C)CON(CC2=CC=CC=C2Cl)C1=O,530,True,True,False,,False,False,,,98.1,,,,,22.11,SA2,240.07663:421505 241.07998:0 242.08334:1317823,,316225.72,421505.25,341786.53,336240.56,244024.1,335339.5,302152.5,340023.7,319792.0,348478.25
1670,3.37_342.17,9857,342.1700,3.366,,,,,C20H23NO4,[M+NH4]+,adduct linked to 8850_[M+H]+,1.0,False,3.37,342.17059,,,,,annotated by user-defined text library,True,True,False,,False,False,,,99.6,99.4,,,,3450.41,SB5,342.17004:134892352 343.17339:29452788 344.17675:3165972,,121385870.0,123437870.0,114191240.0,116109024.0,108444656.0,117726944.0,120792920.0,127862760.0,130113664.0,134892350.0
1671,3.37_203.13,2777,203.1291,3.367,Match #432,,"Match #255: 3.37_204.12 = [M+H+1] w/ R^2 = 0.150, dRT = 0.001, PHR = 1.186 +/- 0.348",1.1859708065370775,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,130.39,SA4,203.12909:5970455 204.13244:5882870 205.1358:400365,,4732759.0,5357374.5,5236871.5,5970455.0,4157523.8,5017949.0,4367638.0,5050906.5,4735429.0,5097761.5
1672,3.37_210.13,2997,210.1262,3.368,,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,22.99,SB5,210.12617:1540669 211.12952:0 212.13288:0,,859327.2,970009.94,1323150.5,866813.6,900350.4,1072432.4,1184103.5,1364261.4,1184431.0,1540669.4
1673,3.37_204.12,2822,204.1226,3.368,,,Match #255,,w/o MS2:O-Acetyl-L-carnitine; LC-ESI-QTOF; MS2; CE,[M+H]+,,0.3,False,,204.12248,C9H18NO4,Acyl carnitines,RDHQFKQIGNGIED-MRVPVSSYSA-O,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,530,True,True,False,,False,False,,,100.0,,,,,73.59,SB2,204.12265:7567326 205.126:0 206.12936:0,,6297101.5,8042437.0,4970364.5,3472389.8,6011896.0,6951196.0,7567326.0,6384026.5,4268585.5,3915295.5
1674,3.37_375.16,11614,375.1587,3.368,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,252.36,SB3,375.15872:15765139 376.16207:2795942 377.16543:761782,,14803043.0,13959159.0,13363534.0,12997828.0,12481703.0,13087853.0,14017983.0,15765139.0,13484686.0,13987633.0
1675,3.37_316.22,8396,316.2183,3.369,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,647.19,SB3,316.21826:13409656 317.22161:3250934 318.22497:0,,10681844.0,12021170.0,11651016.0,11246757.0,11407720.0,11151055.0,11304728.0,13409656.0,12594421.0,12756473.0
1676,3.37_158.61,1545,158.6126,3.369,,,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,53.77,SB5,158.61256:1281754 159.61591:0 160.61927:0,,456584.4,482147.3,619732.8,494428.9,813937.3,728820.25,810572.1,1268969.2,771921.75,1281754.1
1677,3.37_367.24,11177,367.2353,3.371,,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,14.0,SB3,367.23529:772357 368.23864:0 369.242:0,,518290.53,539680.3,375932.94,606371.75,408627.44,679516.4,725449.8,772357.06,536823.7,469833.16
1678,3.37_664.79,22178,664.7893,3.371,,,,,Unknown,[M+2H]2+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,118.18,SB5,664.78931:1921384 665.79266:3194102 666.79602:223278,,1805254.6,913812.94,1544305.8,951909.25,962501.2,1238321.0,1546015.2,1637272.6,1694817.2,1921384.1
1679,3.37_341.15,9794,341.1514,3.372,Match #1557: Possible duplicate of 3.30_341.15 (0.0%) | Match #1558,,,,C20H16N6,[M+NH4]+,adduct linked to 10043_[M+Na]+,1.0,False,3.37,341.15161,,,,,annotated by user-defined text library,True,True,False,,False,False,,,99.5,99.1,,,,1278.02,SB3,341.15137:55652576 342.15472:17077158 343.15808:4800224,,49899248.0,54530172.0,50486876.0,48997256.0,51613076.0,50083520.0,49868188.0,55652576.0,50472684.0,51760708.0
1680,3.37_171.08,1823,171.0796,3.372,Match #270,,Match #162,,w/o MS2:2-Hyroxybiphenyl; LC-ESI-ITFT; MS2; CE,[M+2H]2+,,1.0,False,,171.08043999999998,C12H10O,Biphenyls and derivatives,LLEMOWNGBBNAJR-UHFFFAOYSA-N,OC1=CC=CC=C1C1=CC=CC=C1,530,True,True,False,,False,False,,,99.7,,,,,445.66,SB3,171.07962:78260312 172.08297:1723863 173.08633:0,,43654420.0,58719488.0,48218452.0,48524164.0,47490320.0,53591132.0,60688560.0,78260310.0,62803920.0,63471008.0
1681,3.37_304.15,7645,304.1544,3.373,,,,,w/o MS2:Cocaine; LC-ESI-ITFT; MS2; CE,[M+H]+,similar chromatogram in higher mz_7813,1.0,False,,304.15432999999996,C17H21NO4,Benzoic acid esters,ZPUCINDJVBIVPJ-LJISPDSOSA-N,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,530,True,True,False,,False,False,,,100.0,,,,,3170.64,SB3,304.15445:113156824 305.1578:25380156 306.16116:3448710,,104517650.0,112377184.0,103643090.0,99427296.0,101717056.0,98179144.0,102879136.0,113156824.0,101662464.0,107809024.0
1682,3.37_386.14,12127,386.1359,3.373,,,Match #1009,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,25.83,SA2,386.13593:1259160 387.13928:0 388.14264:0,,1010989.5,1259160.0,750517.44,1005779.2,1174516.1,1086369.5,950391.0,1236154.6,1114681.4,1053155.1
1683,3.37_307.20,7813,307.2020,3.374,Match #1269: Possible duplicate of 3.31_307.19 (0.0%),,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,147.22,SB3,307.202:4620732 308.20535:693873 309.20871:0,,3068259.5,3427147.2,3324524.8,3329717.5,3095490.2,3753382.0,3682078.0,4620732.0,4172977.5,3878483.5
1684,3.37_401.13,12918,401.1285,3.374,,,Match #1080,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,118.38,SB3,401.12851:3866911 402.13186:762302 403.13522:0,,3109358.2,3625930.0,3787579.8,3572181.2,3444778.2,3261394.0,3512664.5,3866911.2,3506819.2,3215769.5
1685,3.37_421.24,13895,421.2350,3.374,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,38.24,SA2,421.23502:1417108 422.23837:0 423.24173:0,,747065.7,1417108.2,755753.2,1007957.2,1250569.8,848033.5,1027931.56,1325407.0,1253398.6,1076641.1
1686,3.38_355.10,10531,355.1026,3.375,Match #1655: Possible duplicate of 3.31_355.10 (0.0%),,,,C16H18O9,[M+H]+,,1.0,False,3.38,355.10281000000003,,,,,annotated by user-defined text library,True,True,False,,False,False,,,100.0,100.0,,,,270.46,SB3,355.1026:8209550 356.10595:1205327 357.10931:0,,6969059.5,7616230.0,6179784.5,6035920.0,6664245.5,7205511.5,7258230.0,8209550.5,7515727.5,8195513.0
1687,3.38_197.12,2586,197.1212,3.375,Match #395,,"Match #238: 3.39_199.14 = [M+H+2] w/ R^2 = 0.031, dRT = 0.012, PHR = 0.538 +/- 0.087",0.5379245905837957,Unknown,[M+H]+,adduct linked to 3149_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,17.81,SA2,197.12117:1555523 198.12452:0 199.12788:0,,1373938.6,1555523.1,1268914.2,1260956.2,1538775.8,1396982.6,1372508.5,1494478.4,1539771.9,1122341.9
1688,3.38_139.82,1086,139.8164,3.375,,,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,8.31,SA3,139.81636:362478 140.81971:0 141.82307:0,,306076.28,256467.89,362478.34,13982.87,143236.9,9592.54,270192.0,0.0,0.0,0.0
1689,3.38_170.08,1799,170.0819,3.376,,Match #005,"Match #162: 3.37_171.08 = [M+H+1] w/ R^2 = 0.138, dRT = 0.004, PHR = 51.037 +/- 8.922",51.036849231795586,w/o MS2:Pyridoxine; LC-ESI-QTOF; MS2; CE,[M+H]+,,1.0,False,,170.08118000000002,C8H11NO3,Pyridoxines,LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=C(O)C(CO)=C(CO)C=N1,530,True,True,False,,False,False,,,99.8,,,,,9.08,SB3,170.08185:1334177 171.0852:83568768 172.08856:1321530,,1167739.5,902470.3,1050741.6,1258284.4,1069212.5,902652.6,1071311.9,1334177.1,1126730.9,1305126.6
1690,3.38_319.14,8561,319.1370,3.376,,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,31.94,SA1,319.13696:1671946 320.14031:1161025 321.14367:0,,1671946.2,1292581.0,833567.75,1122191.0,1054139.4,582432.56,685219.0,961215.8,734155.4,1056543.0
1691,3.38_346.10,10043,346.1031,3.377,,,,,Unknown,[M+Na]+,adduct linked to 9794_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,143.01,SB3,346.10309:4334208 347.10644:504991 348.1098:0,,3862689.2,3707157.8,3086895.0,3597004.5,3386181.2,3811294.0,3603907.0,4334207.5,3604446.5,4152218.5
1692,3.38_428.13,14200,428.1330,3.377,Match #2123: Possible duplicate of 3.41_428.13 (0.0%),,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,32.35,SB4,428.133:2008072 429.13635:0 430.13971:0,,2081718.2,1620912.8,1724992.2,1228953.2,1488117.2,1742142.4,1718020.1,1521824.8,2008072.0,2333299.0
1693,3.38_517.16,18337,517.1650,3.377,,,,,Unknown,[M+H]+,similar chromatogram in higher mz_22500,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,19.99,SA1,517.16498:924794 518.16833:0 519.17169:0,,924794.25,800045.3,557691.1,515280.5,381221.47,413157.28,453736.12,723497.75,440978.03,558246.4
1694,3.38_274.68,5972,274.6836,3.377,,,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,28.91,SB2,274.68356:535694 275.68691:0 276.69027:0,,461530.7,535008.44,524458.2,409867.53,432255.25,259471.5,535694.1,484632.06,99134.94,265974.97
1695,3.38_226.17,3642,226.1651,3.378,Match #589: Possible duplicate of 3.32_226.16 (0.0%),,,,w/o MS2:Prometon; LC-ESI-ITFT; MS2; CE,[M+H]+,,0.3,False,,226.16624,C10H19N5O,"2-methoxy-1,3,5-triazines",ISEUFVQQFVOBCY-UHFFFAOYSA-N,COC1=NC(NC(N1)=NC(C)C)=NC(C)C,530,True,True,False,,False,False,,,99.3,,,,,12.77,SB2,226.16508:1270356 227.16843:18803168 228.17179:1986629,,1540235.0,1130194.1,517919.7,1442828.4,841928.5,533698.7,1270355.5,329431.56,1250651.8,848646.94
1696,3.38_156.10,1448,156.1027,3.379,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,15.68,SA1,156.10275:1447044 157.1061:3896526 158.10946:0,,1447044.0,894111.7,826446.56,977533.4,813595.0,1156525.9,623666.6,910124.1,627811.4,1110385.6
1697,3.38_530.33,18848,530.3254,3.379,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,32.69,SA2,530.32538:1060737 531.32873:240188 532.33209:0,,693227.2,1060737.4,823950.1,1038208.25,972898.9,895415.44,918587.5,956763.25,962940.94,636501.25
1698,3.38_355.15,10543,355.1545,3.379,,,,,w/o MS2:Xanthohumol; LC-ESI-QQ; MS2; CE,[M+H]+,similar chromatogram in higher mz_22500,1.0,False,,355.15398999999996,C21H22O5,3-prenylated chalcones,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,530,True,True,False,,False,False,,,99.9,,,,,45.69,SB3,355.15448:3440718 356.15783:0 357.16119:321986,,2945057.0,2862678.5,2598151.2,2565381.0,2621373.0,2714900.8,2719006.5,3440718.5,2982431.2,3248349.0
1699,3.38_325.14,8850,325.1412,3.380,Match #1420,,"Match #763: 3.40_328.16 = [M+H+3] w/ R^2 = 0.384, dRT = 0.015, PHR = 182.846 +/- 54.054",182.84635565424793,Unknown,[M+H]+,adduct linked to 9857_[M+NH4]+,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,19.96,SB3,325.14117:1590123 326.14452:0 327.14788:6099786,,1242441.2,1326543.0,710244.9,893076.5,811028.2,531554.7,794736.8,1590123.2,923282.75,1051410.9
1700,3.38_150.08,1319,150.0847,3.380,,,,,Unknown,[M+2H]2+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,135.68,SB3,150.08467:10824465 151.08802:0 152.09138:0,,6980499.0,8153438.0,6295925.0,7065799.5,6822003.0,6133894.0,6823235.5,10824465.0,8085348.0,6384624.5
1701,3.38_163.07,1641,163.0745,3.380,,,,,Unknown,[M+H]+,similar chromatogram in higher mz_17098; similar chromatogram in higher mz_13895,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,32.08,SB3,163.07449:4229903 164.07784:0 165.0812:0,,2879934.2,3150098.5,2814728.5,2929696.5,3237548.8,2647625.8,3050279.0,4229903.0,2797679.5,3489460.0
1702,3.38_382.20,11932,382.2000,3.380,,,,,C19H23N7O2,[M+H]+,adduct linked to 13057_[M+Na]+,1.0,False,3.38,382.19919,,,,,annotated by user-defined text library,True,True,False,,False,False,,,99.9,100.0,,,,2354.63,SA1,382.19995:72244256 383.2033:13964990 384.20666:933910,,72244256.0,69862456.0,61331464.0,61029648.0,61719368.0,61592356.0,61075600.0,71017120.0,63541932.0,67551504.0
1703,3.38_238.07,4154,238.0732,3.381,,,"Match #393: 3.37_240.08 = [M+H+2] w/ R^2 = 0.027, dRT = 0.015, PHR = 0.266 +/- 0.038",0.2658001356830156,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,28.01,SB3,238.07317:1484342 239.07652:0 240.07988:0,,1295345.1,1257081.1,1217953.9,1078710.9,1246403.4,1263229.2,1155074.1,1484341.9,1124385.1,1394348.4
1704,3.38_686.29,22500,686.2900,3.381,,,,,Unknown,[M+2H]2+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,511.87,SB3,686.29004:9307448 687.29339:3113214 688.29675:1280918,,6445207.5,6949865.5,7274107.5,7179507.0,8303367.5,7754871.5,7112072.5,9307448.0,8044072.0,8153417.0
1705,3.38_469.01,16233,469.0084,3.381,,,Match #1350,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,229.73,SB3,469.00839:4791140 470.01174:3505513 471.0151:515384,,3903380.2,3361612.5,3696941.0,3580557.8,3665796.8,3924551.5,3593533.2,4791140.5,3504638.0,4018490.2
1706,3.38_191.60,2422,191.6030,3.381,Match #370: Possible duplicate of 3.46_191.59 (0.0%),,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,2170.09,SB3,191.60298:30880930 192.60633:0 193.60969:0,,24467660.0,26059882.0,23453530.0,25628342.0,23965566.0,21314066.0,23598062.0,30880930.0,22927212.0,24823854.0
1707,3.38_242.64,4375,242.6437,3.382,,,,,Unknown,[M+2H]2+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,187.78,SB3,242.64369:3929141 243.64704:0 244.6504:286877,,3122355.2,3725696.0,3332726.5,3081135.5,3247363.2,2685783.2,3035556.2,3929141.0,2944662.2,3476772.5
1708,3.38_489.14,17185,489.1395,3.382,,,Match #1433,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,28.94,SB3,489.1395:957118 490.14285:0 491.14621:0,,725765.56,507634.2,614117.44,726568.8,445498.66,651470.56,668619.56,957117.6,718935.25,671093.56
1709,3.38_430.26,14338,430.2565,3.382,Match #2148: Possible duplicate of 3.44_430.26 (0.0%),,,,w/o MS2:Mebeverine; LC-ESI-QTOF; MS2; CE,[M+H]+,,0.9,False,,430.25879,C25H35NO5,P-methoxybenzoic acids and derivatives,VYVKHNNGDFVQGA-UHFFFAOYNA-N,CCN(CCCCOC(=O)C1=CC(OC)=C(OC)C=C1)C(C)CC1=CC=C(OC)C=C1,530,True,True,False,,False,False,,,97.3,,,,,14.92,SB4,430.25647:1155701 431.25982:0 432.26318:0,,535404.4,825722.4,788387.6,451472.28,808507.56,806429.25,1027395.56,1077427.5,1155700.9,956382.3
1710,3.38_468.01,16192,468.0073,3.382,,,"Match #1350: 3.38_469.01 = [M+H+1] w/ R^2 = 0.350, dRT = 0.001, PHR = 1.112 +/- 0.092",1.1120187608217231,Unknown,[M+H]+,similar chromatogram in higher mz_22500,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,276.41,SB3,468.00735:3966242 469.0107:4266758 470.01406:3890044,,3469780.8,3142768.0,3439547.5,3619222.2,2977103.2,3174920.8,3593667.0,3966242.2,3470137.0,3416754.2
1711,3.38_295.13,7121,295.1303,3.382,,,"Match #630: 3.40_296.14 = [M+H+1] w/ R^2 = 0.219, dRT = 0.014, PHR = 29.804 +/- 2.534",29.804084649610505,w/o MS2:Aspartame; LC-ESI-ITFT; MS2; CE,[M+H]+,,1.0,False,,295.12885,C14H18N2O5,Peptides,IAOZJIPTCAWIRG-UHFFFAOYNA-N,COC(=O)C(CC1=CC=CC=C1)N=C(O)C(N)CC(O)=O,530,True,True,False,,False,False,,,99.0,,,,,217.11,SA2,295.13028:6781874 296.13363:39566596 297.13699:7837158,,5998758.0,6781874.5,5681840.0,4828564.5,5159002.5,5423636.0,5642519.0,6370641.0,5256493.5,5950906.0
1712,3.38_487.14,17098,487.1427,3.383,,,"Match #1433: 3.38_489.14 = [M+H+2] w/ R^2 = 0.458, dRT = 0.001, PHR = 0.298 +/- 0.047",0.2977075918379789,Unknown,[M+Na]+,adduct linked to 16892_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,71.24,SA1,487.14267:2486160 488.14602:0 489.14938:995948,,2486160.0,2143971.8,2237772.5,2145474.5,2061863.8,2156156.2,2018753.2,2479585.5,2282536.8,2355451.0
